Code,Term
C10124,"Africa"
C10001,"Aid and development"
C10002,"Air Force"
C10003,"Air transport"
C10125,"Americas"
C10122,"Ancient Monuments and Historical Buildings"
C10004,"Archives and libraries"
C10065,"Armed Forces (General Administration)"
C10092,"Army"
C10005,"Art, architecture and design"
C10126,"Asia"
C10129,"Australia and Pacific"
C10006,"Badges and insignia"
C10007,"Banking"
C10008,"Canals and river transport"
C10130,"Caribbean"
C10009,"Census"
C10010,"Charities"
C10011,"Chartism"
C10012,"Children"
C10013,"Clothing"
C10014,"Coal"
C10015,"Common land"
C10016,"Communications"
C10017,"Communism"
C10018,"Computing"
C10019,"Conflict"
C10020,"Conscientious objection"
C10021,"Construction industries"
C10022,"Conveyancing"
C10023,"Crime"
C10024,"Crown lands and estates"
C10025,"Debt"
C10026,"Democracy"
C10027,"Devolution"
C10028,"Diaries"
C10029,"Disability"
C10030,"Disarmament"
C10031,"Disasters and emergencies"
C10032,"Disease"
C10033,"Education"
C10034,"Electoral reform"
C10120,"Electricity"
C10131,"Europe and Russia"
C10035,"Events and exhibitions"
C10036,"Farming"
C10037,"Fascism"
C10038,"Fishing"
C10039,"Food and drink"
C10040,"Forestry"
C10041,"Freemasons"
C10042,"Friendly societies"
C10043,"Government finances"
C10044,"Hospitals"
C10045,"Housing"
C10046,"Hunting"
C10127,"Indian Subcontinent"
C10047,"Inflation"
C10048,"Intelligence"
C10049,"International"
C10050,"Internment"
C10132,"Ireland"
C10051,"Iron, steel and metals"
C10052,"Labour"
C10053,"Landed estates"
C10135,"Legal"
C10054,"Literature"
C10055,"Litigation"
C10134,"Local Government"
C10056,"Manors"
C10057,"Manufacturing"
C10058,"Maps and plans"
C10059,"Marriage and divorce"
C10060,"Medals"
C10061,"Medicine"
C10062,"Mental illness"
C10063,"Merchant seaman"
C10128,"Middle East"
C10064,"Migration"
C10066,"Mining and quarrying"
C10067,"Museums and galleries"
C10068,"Mutual societies"
C10069,"National debt"
C10070,"National Health Service"
C10071,"Nationality"
C10072,"Navy"
C10073,"Nuclear energy"
C10119,"Nursing"
C10136,"Official publications"
C10074,"Oil and gas"
C10075,"Operations, battles and campaigns"
C10076,"Pardons"
C10077,"Pay and pensions"
C10078,"Performing arts"
C10118,"Personal and family papers"
C10079,"Photography and film"
C10080,"Piracy and privateering"
C10081,"Planning (Land and Property)"
C10133,"Polar"
C10082,"Policing"
C10083,"Population"
C10084,"Poverty"
C10085,"Prisons"
C10086,"Public disorder"
C10087,"Race relations"
C10088,"Radio and television"
C10089,"Railways"
C10090,"Rationing"
C10091,"Refugees"
C10093,"Religions"
C10094,"Religious discrimination and persecution"
C10095,"Renewable energies"
C10096,"Research"
C10097,"Resources"
C10098,"Road transport"
C10099,"Royal Parks"
C10100,"Royalty"
C10101,"Sewerage"
C10102,"Sex and gender"
C10103,"Shipping"
C10104,"Slavery"
C10105,"Sports"
C10106,"Taxation"
C10107,"Tithes"
C10108,"Trade and commerce"
C10121,"Transport management"
C10110,"Transportation"
C10109,"Travel and tourism"
C10111,"Treason and rebellion"
C10112,"Treaties and alliances"
C10123,"UFOs"
C10113,"Votes for women"
C10114,"Weapons"
C10115,"Welfare"
C10116,"Wills and probate"
C10117,"Witchcraft"
